	motifs_int	motifs_str	GR	freq_1	freq_2
961	[{5}, {9, 11}, {3, 15}]	{feats_g=f} {lemma_de,dep_dep} {pos_NC,dep_prep}	0.7871624266144815	419.0	350
843	[{42}, {169, 170, 171, 172}]	{dep_mod} {lemma_et,pos_CC,dep_coord,wp_▁et}	0.7870101020785952	310.0	259
2872	[{10}, {5}, {3, 5, 15}]	{pos_P} {feats_g=f} {pos_NC,feats_g=f,dep_prep}	0.7868852459016393	365.0	305
2573	[{3, 5}, {131}]	{pos_NC,feats_g=f} {feats_n=p}	0.7868597026553268	505.0	422
1453	[{3}, {11}, {3, 4, 15}]	{pos_NC} {dep_dep} {pos_NC,feats_n=s,dep_prep}	0.786824688317685	426.0	356
1457	[{4}, {19}, {10}]	{feats_n=s} {feats_g=m} {pos_P}	0.786824688317685	426.0	356
590	[{3, 4}, {11}, {19}]	{pos_NC,feats_n=s} {dep_dep} {feats_g=m}	0.7866927592954991	335.0	280
2185	[{131, 147}]	{feats_n=p,wp_▁des}	0.7866662543677913	530.0	443
543	[{4}, {4}, {9, 12}]	{feats_n=s} {feats_n=s} {lemma_de,wp_▁de}	0.7866312845155274	457.0	382
1093	[{3, 15}, {42}, {15}]	{pos_NC,dep_prep} {dep_mod} {dep_prep}	0.7866057838660578	323.0	270
530	[{42}, {169, 170, 172}]	{dep_mod} {lemma_et,pos_CC,wp_▁et}	0.7865121180189674	311.0	260
397	[{9, 122, 131, 147}]	{lemma_de,pos_P+D,feats_n=p,wp_▁des}	0.7864259028642591	421.0	352
1262	[{392, 73, 4}]	{feats_n=s,pos_V,feats_t=P}	0.7862822109397453	342.0	286
2675	[{11}, {4}]	{dep_dep} {feats_n=s}	0.786046632528398	630.0	527
2724	[{10}, {5}, {5, 15}]	{pos_P} {feats_g=f} {feats_g=f,dep_prep}	0.7860425683815984	367.0	307
63	[{42}, {10}, {4}, {3, 15}]	{dep_mod} {pos_P} {feats_n=s} {pos_NC,dep_prep}	0.7860179499291451	312.0	261
2209	[{19}, {10, 42}]	{feats_g=m} {pos_P,dep_mod}	0.7859468170829976	508.0	425
370	[{10}, {80, 81, 4, 5}, {3, 4, 5, 15}]	{pos_P} {feats_n=s,feats_g=f,pos_DET,dep_det} {pos_NC,feats_n=s,feats_g=f,dep_prep}	0.785833611760775	343.0	287
2057	[{10}, {80, 81}, {15}, {10}]	{pos_P} {pos_DET,dep_det} {dep_prep} {pos_P}	0.7856798984638277	374.0	313
947	[{80, 81, 19, 4}, {4}]	{feats_n=s,feats_g=m,pos_DET,dep_det} {feats_n=s}	0.7856691253951528	466.0	390
951	[{19}, {10}, {80, 81}]	{feats_g=m} {pos_P} {pos_DET,dep_det}	0.7856691253951528	466.0	390
