	motifs_int	motifs_str	ARSCAN	CHISCO	DICEN	LADYSS	LTIE	CDPC	CRDP	ECONOMIX	LAPPS	MODALX	CEDCAC	CREA	ERO	LEGS	MODYCO	CEDIN	CREF	HAR	LEME	MONDESA	CEJEC	CRESPPA	IDHES	LESC	PRETECH	CEREG	CRPM	IREPH	LICAE	SOPHIAPOL	CEROS	CSLF	IRERP	LINP2	CHAD	CTAD	ISP	LIPO
{17,18,730} {5,24} {4,5}	[{17, 18, 730}, {24, 5}, {4, 5}]	{lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing,pos_DET} {feats_Gender=Masc,feats_Number=Sing}	-161.727060078538	inf	inf	-16.4106444509864	-47.7576546045922	inf	-38.798236826551	-inf	-164.666653141054	inf	inf	inf	inf	-55.2001862384401	inf	inf	-55.0629652974921	inf	-28.2513443029701	-123.603539271721	inf	-145.131790921771	-176.709438121701	inf	inf	inf	-10.7170343628865	inf	-65.7016398991942	inf	inf	-69.3367988235564	inf	-33.5859774698283	-38.6620981037186	inf	inf	inf
{18} {26} {3,26}	[{18}, {26}, {26, 3}]	{pos_ADP} {feats_Gender=Fem} {pos_NOUN,feats_Gender=Fem}	-227.892178209695	inf	10.9039432542057	inf	-67.2546048359377	10.4528597193448	-54.634936668728	-inf	-232.038173349773	10.5466298114906	inf	inf	inf	-77.7386017200388	inf	inf	inf	inf	inf	-174.135315550609	10.8730552447604	-204.48884039653	-249.024739263257	10.8675754314421	inf	inf	-15.0892967656455	inf	-92.5330045262488	inf	inf	inf	inf	10.658071563033	-54.4431895783311	inf	inf	inf
{24,92} {92} {92}	[{24, 92}, {92}, {92}]	{pos_DET,feats_Number=Plur} {feats_Number=Plur} {feats_Number=Plur}	-288.541084123856	inf	10.8569472861293	inf	-85.103588731632	7.17523462903197	-69.131650048022	-inf	-293.794957635744	10.5514623827535	inf	inf	inf	inf	inf	inf	inf	inf	inf	-220.434423634973	10.2538237682641	10.6842813483881	-315.322353239044	10.7702817095456	inf	inf	-19.0904076025024	inf	-117.101244458442	inf	inf	inf	11.1934591199882	10.6345827299904	-68.8889786031947	inf	inf	inf
{26} {17,18} {5}	[{26}, {17, 18}, {5}]	{feats_Gender=Fem} {lemma_de,pos_ADP} {feats_Number=Sing}	-254.717096824299	inf	12.3288658606652	inf	-75.1518905444256	10.8437442718171	10.7486901172089	-inf	-259.352857221404	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	-194.615727439492	12.7010094806288	-228.550330545226	-278.34671428471	12.6264141087527	inf	inf	-16.8597799334548	inf	-103.40265122205	inf	inf	inf	inf	inf	11.5306888516626	inf	inf	inf
{5} {3,5} {18}	[{5}, {3, 5}, {18}]	{feats_Number=Sing} {pos_NOUN,feats_Number=Sing} {pos_ADP}	-inf	inf	inf	6.41385864752483	-156.324513574499	5.98799301753292	2.74208308137934	4.21250163710015	-inf	inf	inf	inf	inf	8.46140730128254	inf	inf	inf	7.56996537847752	inf	0.624557283657157	inf	-1.51756786879217	-inf	inf	inf	inf	0.365752905536932	inf	-215.182660456151	inf	inf	inf	inf	inf	2.8377317759983	inf	inf	inf
{5} {18} {5,24} {3,5}	[{5}, {18}, {24, 5}, {3, 5}]	{feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing}	-inf	inf	inf	5.73887337714438	-109.445709761971	8.87715169294908	8.1557208447907	inf	-inf	10.8840052215633	inf	inf	inf	inf	inf	inf	inf	inf	inf	-283.638537237941	11.4498607185697	-inf	-inf	inf	inf	inf	2.41053516493153	inf	-150.614673861857	inf	inf	inf	inf	11.181754842952	8.30439580999517	inf	inf	10.5196282626289
{17,18,730,878} {23,24,25,27} {4}	[{17, 18, 878, 730}, {24, 25, 27, 23}, {4}]	{lemma_de,pos_ADP,wp_▁de,dep_de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Masc}	-307.58913526289	inf	10.9401364388739	inf	-90.7048520181795	10.3606450059668	10.3538868958517	-inf	-313.191380563434	10.9593407868078	inf	inf	inf	inf	inf	inf	inf	inf	inf	-234.971580073134	11.1928347823068	10.5865279955786	-inf	10.8229326176376	inf	inf	-20.3456898018557	8.66056374924869	-124.812077283748	inf	inf	inf	inf	11.1062158863464	10.5701754192954	inf	inf	inf
{18} {5,23,24,25,27} {3,4,5}	[{18}, {5, 23, 24, 25, 27}, {3, 4, 5}]	{pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc,feats_Number=Sing}	-inf	inf	10.22333632274	6.2493505566608	-122.154308592761	8.10687215244662	8.05990717143999	10.6909915708926	-inf	10.2207571821581	11.4087509376807	10.997274664784	inf	3.82425104233644	10.7377063569964	11.26137302124	10.6994475729794	inf	7.33648099160523	-316.666084961909	10.0138930306958	5.27286990192537	-inf	10.2042279648216	inf	10.5632135310214	-27.390752742769	inf	-168.115135661852	inf	4.68719626590796	10.7371505737744	10.5967273116367	10.4250991013344	8.21624865784389	10.479214990935	inf	inf
{3,5} {18} {24} {26}	[{3, 5}, {18}, {24}, {26}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {pos_DET} {feats_Gender=Fem}	-122.03318087788	inf	-30.4863625001041	-12.3885317342201	-36.0491555018544	-11.4738044849519	-29.2870866299906	-272.725358798325	-124.250107038599	inf	inf	inf	inf	-41.6660746596331	-46.4371235540056	inf	inf	-36.5652185321837	-21.3263960683964	-93.2780146869316	inf	-109.516867718289	-133.331851456701	inf	inf	inf	-8.09051976226558	inf	-49.5911313488135	inf	inf	-52.3343281528143	inf	inf	-29.1843337946086	inf	inf	-10.8304240492641
{3,26} {18} {24,27}	[{26, 3}, {18}, {24, 27}]	{pos_NOUN,feats_Gender=Fem} {pos_ADP} {pos_DET,feats_PronType=Art}	-123.287420533712	inf	inf	-12.5156796384602	-36.4192514607449	-11.5915628639951	-29.5877345234758	-275.534154369209	-125.527169296886	10.8768331727091	inf	inf	inf	-42.0938668614588	-46.9139298717367	-20.2030845862716	inf	-36.9406150749844	-21.545301100653	-94.236351644455	inf	-110.642281230657	-134.702421931665	inf	inf	inf	-8.1735511584399	inf	-50.1003428438616	inf	-25.3371196352709	-52.8717261816669	inf	inf	-29.4839264843371	inf	inf	inf
{5} {11} {5}	[{5}, {11}, {5}]	{feats_Number=Sing} {pos_ADJ} {feats_Number=Sing}	-10.8998705739993	inf	-2.72584284358275	-1.1079045356735	-3.22302247462661	-1.02611099894582	-2.61864834251023	-24.3156930815324	-11.0975989348845	10.4293959025723	-2.67682992988337	-2.87604677573373	-3.82989525400632	-3.72497648467241	-4.15128955809706	-1.78825124615967	-3.71572254555139	-3.26914291863961	-1.90702743723441	-8.33424898839935	-0.938309417422822	-9.78334149336871	-11.9074935916088	-2.71358808086446	-2.31891951642665	-2.00150788767811	-0.723568350182664	-0.777980028871434	-4.43308797537801	-1.70912047853756	-2.24255595687162	-4.67816560455933	-1.31410523525782	-2.2669879740565	-2.60946388375499	-1.00491270487847	-2.65539192512619	-0.968579892764929
{5,24} {5,26} {5,26}	[{24, 5}, {26, 5}, {26, 5}]	{feats_Number=Sing,pos_DET} {feats_Number=Sing,feats_Gender=Fem} {feats_Number=Sing,feats_Gender=Fem}	-75.9693012944584	inf	inf	-7.71625647480056	-22.4509082550841	-7.14654458820949	-18.2401648488782	-169.650874522572	-77.3485680551914	inf	-18.6455064642204	-20.0334436927559	inf	-25.9483615878244	-28.9189754343166	inf	-25.8838808040867	-22.7722498903298	-13.2826954145017	-58.076437950301	inf	-68.1816695244712	-82.9984801730605	-18.9015962666194	inf	-13.9408590264562	-5.03931963867401	inf	-30.8826915560281	inf	-15.6200733367622	-32.5905846591384	inf	inf	-18.1761785385535	-6.99889440539731	inf	inf
{5,26} {18} {5,24}	[{26, 5}, {18}, {24, 5}]	{feats_Number=Sing,feats_Gender=Fem} {pos_ADP} {feats_Number=Sing,pos_DET}	-109.34029565844	inf	-27.3187388722166	-11.1015865335407	-32.3033073518079	-10.2818950841913	-26.2441122173439	-244.307180764014	-111.326301299488	10.581236336234	inf	inf	inf	-37.3363019587834	-41.6113028953954	-17.920230940949	inf	-32.7657245231875	-19.1107471872579	-83.5792362524216	11.2118881998047	-98.1274835737017	-119.461940572929	10.8211275087866	inf	inf	-7.25010068778821	inf	-44.4373575738608	inf	-22.473981594843	-46.8952981056771	inf	inf	-26.1520390534302	inf	inf	inf
{18} {23,24,25,27} {3} {18} {5}	[{18}, {24, 25, 27, 23}, {3}, {18}, {5}]	{pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {pos_ADP} {feats_Number=Sing}	-137.047452855921	inf	10.762100374225	inf	-40.478939065021	-12.8832377073134	-32.8855911510464	-306.356913313717	-139.53763569403	10.712769451673	inf	inf	inf	-46.7864829372397	-52.1442403749798	inf	inf	-41.0584496714779	-23.946476448282	-104.749592276704	10.7461161653595	-122.988730286147	-149.738980581688	10.6690302109586	inf	inf	-9.08430584101343	inf	-55.6861490245856	inf	-28.1610339399788	-58.7667510558499	11.732211504246	11.4340276392269	-32.7702078711265	inf	inf	inf
{18} {24} {3} {17,18,728,730}	[{18}, {24}, {3}, {728, 17, 18, 730}]	{pos_ADP} {pos_DET} {pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de}	-143.850922843807	inf	inf	-14.599756943222	-42.4858133084814	-13.5217327136501	-34.5158362118212	-321.598645167018	-146.464964626908	11.046625144014	inf	inf	inf	-49.1062689063206	-54.7298616973302	inf	inf	-43.0940707185994	inf	-109.94738943164	10.7651836846618	-129.093098515513	-157.17380466915	inf	inf	inf	-9.53450278029252	inf	-58.4475299955647	inf	-29.5569800416261	-61.681014006798	11.6428570947487	inf	-34.3947305239528	inf	inf	inf
{18,692} {24,27} {5}	[{18, 692}, {24, 27}, {5}]	{pos_ADP,lemma_à} {pos_DET,feats_PronType=Art} {feats_Number=Sing}	-109.996607534992	inf	-27.4825467265396	-11.1681400609859	-32.4970156668604	-10.3435339680996	-26.4014743038433	-245.776299566456	-111.99455144829	inf	inf	inf	inf	-37.5602050572416	-41.8608563309776	inf	inf	-32.9622068877612	-19.2253267326098	-84.0807505004894	inf	-98.716404905003	-120.17910230281	inf	inf	inf	-7.29356264285456	inf	-44.7038690924106	inf	-22.6087312682477	-47.1765597900193	inf	-22.8551088528393	-26.3088488797579	inf	inf	-9.763539832534
{24,27} {3} {17,18,728,730} {5}	[{24, 27}, {3}, {728, 17, 18, 730}, {5}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing}	-179.816485047045	inf	inf	inf	-53.0905708392252	inf	-43.13013563349	-inf	-183.085679811412	inf	inf	inf	inf	-61.364837472172	inf	inf	inf	-53.8507581666796	inf	-137.421022185396	inf	-161.361024296542	-196.479070294597	inf	inf	inf	-11.9131362993152	inf	-73.0401780908123	inf	inf	-77.0817702928649	inf	inf	-42.9787883936021	inf	inf	-15.9478529821809
{24,27} {3} {18} {24,27} {5}	[{24, 27}, {3}, {18}, {24, 27}, {5}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP} {pos_DET,feats_PronType=Art} {feats_Number=Sing}	-106.304234972391	inf	-26.5609459057508	-10.7937005293859	-31.4071935245989	-9.99674481449089	-25.516137737723	-237.511548952109	-108.235017616757	10.2820181429585	inf	inf	inf	-36.3005063295964	-40.4568486656586	-17.4231991474762	inf	-31.8567778497622	-18.5806878676356	-81.2592337603103	10.540827452226	-95.4031539651539	-116.144407111238	10.3765996219828	inf	10.5932435256157	-7.04903922381174	inf	-43.2044554029952	inf	-21.8506136376921	-45.5941619573687	11.4802860730744	10.4585074073933	-25.4266193618731	11.4284185559186	inf	-9.43619849452429
{944,945,946,948} {17,18,730,878} {4,5,23,24,25,27,43,44}	[{944, 945, 946, 948}, {17, 18, 878, 730}, {4, 5, 43, 44, 23, 24, 25, 27}]	{lemma_du,pos_du,feats_du,wp_▁du} {lemma_de,pos_ADP,wp_▁de,dep_de} {feats_Gender=Masc,feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,dep_le,wp_▁le}	-105.132837807806	inf	-26.2685561720301	-10.6749036767329	-31.06143438727	inf	-25.2352531349639	-234.889791359337	-107.042315086131	inf	inf	inf	inf	-35.9008529535335	-40.0114127662207	inf	-35.8116295614884	-31.5060673297555	-18.3761669333599	-80.364100174734	inf	-94.3520253661781	-114.864416512896	inf	inf	-19.2867743867331	-6.97146014103859	-7.49575014852593	-42.7287517272318	inf	inf	-45.0921314553483	inf	-21.8455823791571	-25.1467204962569	inf	inf	-9.33234420583097
