	motifs_int	motifs_str	ISP	MODYCO
{3} {18} {24} {4}	[{3}, {18}, {24}, {4}]	{pos_NOUN} {pos_ADP} {pos_DET} {feats_Gender=Masc}	inf	
{4} {18} {24} {26}	[{4}, {18}, {24}, {26}]	{feats_Gender=Masc} {pos_ADP} {pos_DET} {feats_Gender=Fem}	1.6415394866156006	-1.5437988583859668
{5} {3,5} {18} {3}	[{5}, {3, 5}, {18}, {3}]	{feats_Number=Sing} {pos_NOUN,feats_Number=Sing} {pos_ADP} {pos_NOUN}	1.8926386127982362	-1.7859213318837504
{5} {4} {18} {24}	[{5}, {4}, {18}, {24}]	{feats_Number=Sing} {feats_Gender=Masc} {pos_ADP} {pos_DET}	inf	
{18} {24} {3,4} {17,18}	[{18}, {24}, {3, 4}, {17, 18}]	{pos_ADP} {pos_DET} {pos_NOUN,feats_Gender=Masc} {lemma_de,pos_ADP}	inf	
{23,24,25,27} {3} {17,18} {5} {5}	[{24, 25, 27, 23}, {3}, {17, 18}, {5}, {5}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	inf	
{24} {3} {17,18,728,730} {3}	[{24}, {3}, {728, 17, 18, 730}, {3}]	{pos_DET} {pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {pos_NOUN}	inf	
{24,27} {3} {18} {5}	[{24, 27}, {3}, {18}, {5}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP} {feats_Number=Sing}	8.926561888037133	-8.69629127540431
{4} {18} {5} {3,5}	[{4}, {18}, {5}, {3, 5}]	{feats_Gender=Masc} {pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	3.992930663321325	-3.8342114891093058
{18} {24} {3,4} {18}	[{18}, {24}, {3, 4}, {18}]	{pos_ADP} {pos_DET} {pos_NOUN,feats_Gender=Masc} {pos_ADP}	inf	
{24} {3} {18} {5,24} {5}	[{24}, {3}, {18}, {24, 5}, {5}]	{pos_DET} {pos_NOUN} {pos_ADP} {feats_Number=Sing,pos_DET} {feats_Number=Sing}	inf	
{92} {18} {5} {5}	[{92}, {18}, {5}, {5}]	{feats_Number=Plur} {pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	inf	
{24} {3} {18} {24} {3}	[{24}, {3}, {18}, {24}, {3}]	{pos_DET} {pos_NOUN} {pos_ADP} {pos_DET} {pos_NOUN}	6.180492652373639	-5.977050929631444
{3} {18} {24} {26}	[{3}, {18}, {24}, {26}]	{pos_NOUN} {pos_ADP} {pos_DET} {feats_Gender=Fem}	2.2905319144779988	-2.17661241683556
{5} {3} {18} {24}	[{5}, {3}, {18}, {24}]	{feats_Number=Sing} {pos_NOUN} {pos_ADP} {pos_DET}	inf	
{18} {5,23,24,25,27} {5} {18}	[{18}, {5, 23, 24, 25, 27}, {5}, {18}]	{pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing} {pos_ADP}	inf	
{18} {5,23,24,25,27} {5} {105}	[{18}, {5, 23, 24, 25, 27}, {5}, {105}]	{pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing} {pos_PUNCT}	inf	
{24} {3} {18} {5,24}	[{24}, {3}, {18}, {24, 5}]	{pos_DET} {pos_NOUN} {pos_ADP} {feats_Number=Sing,pos_DET}	inf	
{4} {18} {5,23,24,25,27} {5}	[{4}, {18}, {5, 23, 24, 25, 27}, {5}]	{feats_Gender=Masc} {pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	inf	
