	motifs_int	motifs_str	ARSCAN	CHISCO	DICEN	LADYSS	LTIE	CDPC	CRDP	ECONOMIX	LAPPS	MODALX	CEDCAC	CREA	ERO	LEGS	MODYCO	CEDIN	CREF	HAR	LEME	MONDESA	CEJEC	CRESPPA	IDHES	LESC	PRETECH	CEREG	CRPM	IREPH	LICAE	SOPHIAPOL	CEROS	CSLF	IRERP	LINP2	CHAD	CTAD	ISP	LIPO	AVERAGE	VAR	ST.DEV
{3} {18} {5,26}	[{3}, {18}, {26, 5}]	{pos_NOUN} {pos_ADP} {feats_Number=Sing,feats_Gender=Fem}	-16.00	16.00	16.00	16.00	-16.00	6.52	1.27	16.00	-16.00	10.78	16.00	16.00	16.00	4.92	16.00	16.00	16.00	4.39	16.00	0.36	16.00	2.09	-16.00	16.00	16.00	16.00	3.23	16.00	-16.00	16.00	16.00	9.32	16.00	16.00	1.33	16.00	16.00	4.31	8.43	122.55	11.07
{18} {5,23,24,25,27} {3,4,5}	[{18}, {5, 23, 24, 25, 27}, {3, 4, 5}]	{pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc,feats_Number=Sing}	-16.00	16.00	10.22	6.25	-16.00	8.11	8.06	10.69	-16.00	10.22	11.41	11.00	16.00	3.82	10.74	11.26	10.70	16.00	7.34	-16.00	10.01	5.27	-16.00	10.20	16.00	10.56	-16.00	16.00	-16.00	16.00	4.69	10.74	10.60	10.43	8.22	10.48	16.00	16.00	5.97	122.50	11.07
{5} {4} {17,18,730}	[{5}, {4}, {17, 18, 730}]	{feats_Number=Sing} {feats_Gender=Masc} {lemma_de,pos_ADP,wp_▁de}	-16.00	-6.89	-10.97	-4.46	-12.97	-4.13	-10.54	-16.00	-16.00	-6.90	16.00	10.69	-15.41	-14.99	-16.00	-7.20	-14.95	-13.16	-7.67	-16.00	10.43	-16.00	-16.00	-10.92	-9.33	10.54	-2.91	16.00	-17.84	16.00	-9.02	-18.83	-5.29	-9.12	-10.50	10.56	16.00	-3.90	-6.15	122.48	11.07
{24,27} {3} {18} {5}	[{24, 27}, {3}, {18}, {5}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP} {feats_Number=Sing}	-16.00	16.00	16.00	9.32	-16.00	5.94	1.81	2.72	-16.00	16.00	16.00	16.00	16.00	8.08	16.00	16.00	16.00	4.67	16.00	0.96	16.00	-0.29	-16.00	16.00	16.00	16.00	0.54	16.00	-16.00	16.00	16.00	5.21	16.00	16.00	1.88	16.00	16.00	5.95	7.97	122.45	11.07
{5} {4,5} {17,18,730}	[{5}, {4, 5}, {17, 18, 730}]	{feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de}	-16.00	-5.97	-9.51	-3.86	-11.24	-3.58	-9.14	-16.00	-16.00	-5.98	16.00	16.00	-13.36	-13.00	-14.48	-6.24	-12.96	-11.41	-6.65	-16.00	16.00	-16.00	-16.00	-9.47	-8.09	-6.98	-2.52	16.00	-15.47	16.00	-7.82	-16.00	-4.58	-7.91	-9.10	16.00	16.00	-3.38	-5.33	122.41	11.06
{18} {23,24,25,27} {3,4,5}	[{18}, {24, 25, 27, 23}, {3, 4, 5}]	{pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc,feats_Number=Sing}	-16.00	16.00	10.21	6.25	-16.00	8.10	8.06	10.68	-16.00	10.21	11.27	10.96	16.00	3.82	10.71	11.24	10.67	16.00	7.33	-16.00	10.00	5.27	-16.00	10.19	16.00	10.55	-16.00	16.00	-16.00	16.00	4.68	10.70	10.58	10.41	8.21	10.48	16.00	16.00	5.96	122.39	11.06
{18} {5,24,25,27} {3,4,5}	[{18}, {24, 25, 27, 5}, {3, 4, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc,feats_Number=Sing}	-16.00	16.00	10.21	6.25	-16.00	8.10	8.06	10.68	-16.00	10.21	11.27	10.96	16.00	3.82	10.71	11.24	10.67	16.00	7.33	-16.00	10.00	5.27	-16.00	10.19	16.00	10.55	-16.00	16.00	-16.00	16.00	4.68	10.70	10.58	10.41	8.21	10.48	16.00	16.00	5.96	122.39	11.06
{5} {4,5} {17,18,728,730}	[{5}, {4, 5}, {728, 17, 18, 730}]	{feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing} {lemma_de,pos_ADP,feats_de,wp_▁de}	-16.00	-5.97	-9.50	-3.86	-11.23	-3.58	-9.13	-16.00	-16.00	-5.98	16.00	16.00	-13.35	-12.98	-14.47	-6.23	-12.95	-11.40	-6.65	-16.00	16.00	-16.00	-16.00	-9.46	-8.08	-6.98	-2.52	16.00	-15.45	16.00	-7.82	-16.00	-4.58	-7.90	-9.10	16.00	16.00	-3.38	-5.33	122.36	11.06
{18} {4,24} {4,5}	[{18}, {24, 4}, {4, 5}]	{pos_ADP} {feats_Gender=Masc,pos_DET} {feats_Gender=Masc,feats_Number=Sing}	-1.48	16.00	16.00	2.05	-16.00	6.21	0.95	-4.15	-16.00	16.00	16.00	16.00	16.00	4.04	16.00	16.00	16.00	6.13	6.51	-1.10	16.00	1.85	-16.00	16.00	16.00	16.00	-16.00	9.28	-16.00	16.00	8.98	16.00	10.58	16.00	1.00	16.00	16.00	8.66	7.04	122.25	11.06
{24,27} {3} {18}	[{24, 27}, {3}, {18}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP}	-19.07	16.00	10.49	6.18	-16.00	2.05	0.49	-5.75	-16.00	10.40	16.00	16.00	16.00	3.84	16.00	16.00	16.00	2.14	9.45	-3.34	9.57	-5.48	-16.00	10.45	16.00	11.13	-0.52	16.00	-16.00	16.00	16.00	3.62	10.71	10.49	0.53	16.00	16.00	7.16	5.75	122.08	11.05
