	motifs_int	motifs_str	k	M	f	t	T	indice
{5,23,24,25,27} {5} {17,18,728,730}	[{5, 23, 24, 25, 27}, {5}, {728, 17, 18, 730}]	{feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing} {lemma_de,pos_ADP,feats_de,wp_▁de}	0	60	3446	863	48978	-27.59626612975095
{5,24,25,27} {5} {17,18,728,730}	[{24, 25, 27, 5}, {5}, {728, 17, 18, 730}]	{feats_Number=Sing,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing} {lemma_de,pos_ADP,feats_de,wp_▁de}	0	60	3447	863	48978	-27.604576626822897
{23,24,25,27} {5} {17,18,728,730}	[{24, 25, 27, 23}, {5}, {728, 17, 18, 730}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing} {lemma_de,pos_ADP,feats_de,wp_▁de}	0	60	3447	863	48978	-27.604576626822897
{5,23,24,25,27} {5} {17,18,730}	[{5, 23, 24, 25, 27}, {5}, {17, 18, 730}]	{feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de}	0	60	3449	863	48978	-27.621198173900172
{18} {5,23,24,25,26,27} {3,5,26}	[{18}, {5, 23, 24, 25, 26, 27}, {26, 3, 5}]	{pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_Gender=Fem,feats_PronType=Art} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	0	60	3449	863	48978	-27.621198173900172
{5,23,24,25,27} {5} {730}	[{5, 23, 24, 25, 27}, {5}, {730}]	{feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing} {wp_▁de}	0	60	3453	863	48978	-27.654443479636583
{24} {3} {17,18} {5} {5}	[{24}, {3}, {17, 18}, {5}, {5}]	{pos_DET} {pos_NOUN} {lemma_de,pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	0	60	3454	863	48978	-27.662755266861144
{5,24,27} {3,5} {17,18} {5}	[{24, 27, 5}, {3, 5}, {17, 18}, {5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP} {feats_Number=Sing}	0	60	3455	863	48978	-27.671067238472673
{5,24,27} {3} {17,18} {5}	[{24, 27, 5}, {3}, {17, 18}, {5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP} {feats_Number=Sing}	0	61	3460	863	48978	-27.712629861753378
{92} {92} {4}	[{92}, {92}, {4}]	{feats_Number=Plur} {feats_Number=Plur} {feats_Gender=Masc}	0	61	3460	863	48978	-27.712629861753378
{5} {5} {18} {5,24,27} {3,5}	[{5}, {5}, {18}, {24, 27, 5}, {3, 5}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing}	0	61	3461	863	48978	-27.720942939484463
{5} {5} {18} {5,24,27} {3}	[{5}, {5}, {18}, {24, 27, 5}, {3}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN}	0	61	3462	863	48978	-27.729256201703635
{4,5} {3} {18}	[{4, 5}, {3}, {18}]	{feats_Gender=Masc,feats_Number=Sing} {pos_NOUN} {pos_ADP}	0	61	3464	863	48978	-27.745883279277596
{5} {5} {18} {5,23,24,25,27}	[{5}, {5}, {18}, {5, 23, 24, 25, 27}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art}	0	61	3464	863	48978	-27.745883279277596
{24,27} {3} {18} {24,27}	[{24, 27}, {3}, {18}, {24, 27}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP} {pos_DET,feats_PronType=Art}	0	61	3464	863	48978	-27.745883279277596
{3} {17,18} {5,24} {3,5}	[{3}, {17, 18}, {24, 5}, {3, 5}]	{pos_NOUN} {lemma_de,pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing}	0	61	3466	863	48978	-27.762511094576375
{23,24,25,27} {3} {18} {26}	[{24, 25, 27, 23}, {3}, {18}, {26}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {pos_ADP} {feats_Gender=Fem}	0	61	3466	863	48978	-27.762511094576375
{24,25,27} {3} {18} {26}	[{24, 25, 27}, {3}, {18}, {26}]	{pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {pos_ADP} {feats_Gender=Fem}	0	61	3467	863	48978	-27.77082527885677
{3,5} {18} {23,24,25,27} {3}	[{3, 5}, {18}, {24, 25, 27, 23}, {3}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN}	0	61	3467	863	48978	-27.77082527885677
{3} {17,18} {5,24} {3}	[{3}, {17, 18}, {24, 5}, {3}]	{pos_NOUN} {lemma_de,pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN}	0	61	3467	863	48978	-27.77082527885677
{17,18,730} {4,5,24} {4,5}	[{17, 18, 730}, {24, 4, 5}, {4, 5}]	{lemma_de,pos_ADP,wp_▁de} {feats_Gender=Masc,feats_Number=Sing,pos_DET} {feats_Gender=Masc,feats_Number=Sing}	0	61	3468	863	48978	-27.77913964754941
{4} {18} {5} {5,26}	[{4}, {18}, {5}, {26, 5}]	{feats_Gender=Masc} {pos_ADP} {feats_Number=Sing} {feats_Number=Sing,feats_Gender=Fem}	0	61	3469	863	48978	-27.787454200755416
{17,18,728,730} {24,27,92} {3,92}	[{728, 17, 18, 730}, {24, 27, 92}, {3, 92}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET,feats_PronType=Art,feats_Number=Plur} {pos_NOUN,feats_Number=Plur}	0	61	3471	863	48978	-27.804083860530554
{17,18,728,730,878} {23,24,25,27} {3,92}	[{878, 17, 18, 728, 730}, {24, 25, 27, 23}, {3, 92}]	{lemma_de,pos_ADP,feats_de,wp_▁de,dep_de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Plur}	0	61	3472	863	48978	-27.812398967074408
{18} {5} {3,5} {5}	[{18}, {5}, {3, 5}, {5}]	{pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing} {feats_Number=Sing}	0	61	3472	863	48978	-27.812398967074408
{4} {4} {17,18}	[{4}, {4}, {17, 18}]	{feats_Gender=Masc} {feats_Gender=Masc} {lemma_de,pos_ADP}	0	61	3472	863	48978	-27.812398967074408
{17,18,728,730} {24,27} {3,92}	[{728, 17, 18, 730}, {24, 27}, {3, 92}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Plur}	0	61	3474	863	48978	-27.829029733727484
{17,18} {23,24,25,27} {3,92}	[{17, 18}, {24, 25, 27, 23}, {3, 92}]	{lemma_de,pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Plur}	0	61	3474	863	48978	-27.829029733727484
{18} {5} {3} {5}	[{18}, {5}, {3}, {5}]	{pos_ADP} {feats_Number=Sing} {pos_NOUN} {feats_Number=Sing}	0	61	3474	863	48978	-27.829029733727484
{92} {92} {11,92}	[{92}, {92}, {11, 92}]	{feats_Number=Plur} {feats_Number=Plur} {pos_ADJ,feats_Number=Plur}	0	61	3476	863	48978	-27.845661238383453
{17,18} {5,26} {5}	[{17, 18}, {26, 5}, {5}]	{lemma_de,pos_ADP} {feats_Number=Sing,feats_Gender=Fem} {feats_Number=Sing}	0	61	3476	863	48978	-27.845661238383453
{5} {17,18} {5,24,27} {5}	[{5}, {17, 18}, {24, 27, 5}, {5}]	{feats_Number=Sing} {lemma_de,pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing}	0	61	3476	863	48978	-27.845661238383453
{17,18,728,730} {4,24} {4}	[{728, 17, 18, 730}, {24, 4}, {4}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Gender=Masc,pos_DET} {feats_Gender=Masc}	0	61	3478	863	48978	-27.862293481168706
{17,18,730} {4,5,24} {5}	[{17, 18, 730}, {24, 4, 5}, {5}]	{lemma_de,pos_ADP,wp_▁de} {feats_Gender=Masc,feats_Number=Sing,pos_DET} {feats_Number=Sing}	0	61	3480	863	48978	-27.878926461982125
{4} {18} {5} {26}	[{4}, {18}, {5}, {26}]	{feats_Gender=Masc} {pos_ADP} {feats_Number=Sing} {feats_Gender=Fem}	0	61	3481	863	48978	-27.887243229323197
{5,24,27} {5} {17,18} {5}	[{24, 27, 5}, {5}, {17, 18}, {5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing} {lemma_de,pos_ADP} {feats_Number=Sing}	0	61	3485	863	48978	-27.920512144023327
{17,18,730} {4,24} {4}	[{17, 18, 730}, {24, 4}, {4}]	{lemma_de,pos_ADP,wp_▁de} {feats_Gender=Masc,pos_DET} {feats_Gender=Masc}	0	61	3491	863	48978	-27.970421054027593
{24,27} {26} {5}	[{24, 27}, {26}, {5}]	{pos_DET,feats_PronType=Art} {feats_Gender=Fem} {feats_Number=Sing}	0	61	3498	863	48978	-28.028656517027333
{24,27} {3} {18} {5,24} {5}	[{24, 27}, {3}, {18}, {24, 5}, {5}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP} {feats_Number=Sing,pos_DET} {feats_Number=Sing}	0	61	3513	863	48978	-28.15347727387818
{24,27} {3} {18} {24} {5}	[{24, 27}, {3}, {18}, {24}, {5}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP} {pos_DET} {feats_Number=Sing}	0	62	3515	863	48978	-28.170123182760996
{17,18} {26} {5}	[{17, 18}, {26}, {5}]	{lemma_de,pos_ADP} {feats_Gender=Fem} {feats_Number=Sing}	0	62	3518	863	48978	-28.195093432526562
{24} {3} {18} {5,24,27} {5}	[{24}, {3}, {18}, {24, 27, 5}, {5}]	{pos_DET} {pos_NOUN} {pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing}	0	62	3530	863	48978	-28.29499107136227
{24} {3} {18} {24,27} {5}	[{24}, {3}, {18}, {24, 27}, {5}]	{pos_DET} {pos_NOUN} {pos_ADP} {pos_DET,feats_PronType=Art} {feats_Number=Sing}	0	62	3532	863	48978	-28.311643266895175
{18} {24} {26} {26}	[{18}, {24}, {26}, {26}]	{pos_ADP} {pos_DET} {feats_Gender=Fem} {feats_Gender=Fem}	0	62	3536	863	48978	-28.34494987785972
{4,5} {5} {18} {5}	[{4, 5}, {5}, {18}, {5}]	{feats_Gender=Masc,feats_Number=Sing} {feats_Number=Sing} {pos_ADP} {feats_Number=Sing}	0	62	3540	863	48978	-28.37825944889991
{24,27} {3} {18} {5,24}	[{24, 27}, {3}, {18}, {24, 5}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP} {feats_Number=Sing,pos_DET}	0	62	3543	863	48978	-28.40324357018235
{3,5} {17,18} {24}	[{3, 5}, {17, 18}, {24}]	{pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP} {pos_DET}	0	62	3544	863	48978	-28.411571980673006
{24} {3} {18} {5,24,27}	[{24}, {3}, {18}, {24, 27, 5}]	{pos_DET} {pos_NOUN} {pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art}	0	62	3553	863	48978	-28.486536005036776
{4} {18} {3,5}	[{4}, {18}, {3, 5}]	{feats_Gender=Masc} {pos_ADP} {pos_NOUN,feats_Number=Sing}	0	62	3560	863	48978	-28.544851725433674
{3,5} {18} {5,23,24,25,27} {5}	[{3, 5}, {18}, {5, 23, 24, 25, 27}, {5}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	0	62	3566	863	48978	-28.594843851621505
{92} {18} {26}	[{92}, {18}, {26}]	{feats_Number=Plur} {pos_ADP} {feats_Gender=Fem}	0	62	3566	863	48978	-28.594843851621505
{17,18,728,730} {4,5} {4,5}	[{728, 17, 18, 730}, {4, 5}, {4, 5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Gender=Masc,feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing}	0	62	3566	863	48978	-28.594843851621505
{4} {5} {18} {5}	[{4}, {5}, {18}, {5}]	{feats_Gender=Masc} {feats_Number=Sing} {pos_ADP} {feats_Number=Sing}	0	62	3567	863	48978	-28.603176521036488
{17,18,728,730} {4} {4,5}	[{728, 17, 18, 730}, {4}, {4, 5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Gender=Masc} {feats_Gender=Masc,feats_Number=Sing}	0	62	3568	863	48978	-28.611509375672654
{3,5} {18} {23,24,25,27} {5}	[{3, 5}, {18}, {24, 25, 27, 23}, {5}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	0	62	3568	863	48978	-28.611509375672654
{3,4} {17,18,728,730} {5}	[{3, 4}, {728, 17, 18, 730}, {5}]	{pos_NOUN,feats_Gender=Masc} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing}	0	62	3569	863	48978	-28.61984241563112
{3,4} {17,18,730} {5}	[{3, 4}, {17, 18, 730}, {5}]	{pos_NOUN,feats_Gender=Masc} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing}	0	62	3570	863	48978	-28.628175640810763
{24,92} {3,92} {18}	[{24, 92}, {3, 92}, {18}]	{pos_DET,feats_Number=Plur} {pos_NOUN,feats_Number=Plur} {pos_ADP}	0	63	3573	863	48978	-28.653176428258213
{5} {17,18} {5,24,27}	[{5}, {17, 18}, {24, 27, 5}]	{feats_Number=Sing} {lemma_de,pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art}	0	63	3583	863	48978	-28.73652443310731
{17,18,728,730} {4,5} {4}	[{728, 17, 18, 730}, {4, 5}, {4}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Gender=Masc,feats_Number=Sing} {feats_Gender=Masc}	0	63	3585	863	48978	-28.75319625859692
{3,5} {18} {5,23,24,25,27}	[{3, 5}, {18}, {5, 23, 24, 25, 27}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art}	0	63	3591	863	48978	-28.803216185278277
{24,92} {92} {18}	[{24, 92}, {92}, {18}]	{pos_DET,feats_Number=Plur} {feats_Number=Plur} {pos_ADP}	0	63	3591	863	48978	-28.803216185278277
{24} {92} {18}	[{24}, {92}, {18}]	{pos_DET} {feats_Number=Plur} {pos_ADP}	0	63	3592	863	48978	-28.811553488761895
{18} {92} {3,26,92}	[{18}, {92}, {26, 3, 92}]	{pos_ADP} {feats_Number=Plur} {pos_NOUN,feats_Gender=Fem,feats_Number=Plur}	0	63	3602	863	48978	-28.894936726309826
{17,18,728,730} {4,5} {5}	[{728, 17, 18, 730}, {4, 5}, {5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Gender=Masc,feats_Number=Sing} {feats_Number=Sing}	0	63	3606	863	48978	-28.92829521642038
{92} {18} {24} {3}	[{92}, {18}, {24}, {3}]	{feats_Number=Plur} {pos_ADP} {pos_DET} {pos_NOUN}	0	63	3611	863	48978	-28.969997504763562
{3} {18} {5,24,27} {3,5,26}	[{3}, {18}, {24, 27, 5}, {26, 3, 5}]	{pos_NOUN} {pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	0	63	3617	863	48978	-29.020046376710006
