	motifs_int	motifs_str	k	M	f	t	T	indice
{5} {3,26} {17,18}	[{5}, {26, 3}, {17, 18}]	{feats_Number=Sing} {pos_NOUN,feats_Gender=Fem} {lemma_de,pos_ADP}	104	18	2727	333	48978	inf
{3} {17,18,730} {5}	[{3}, {17, 18, 730}, {5}]	{pos_NOUN} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing}	195	96	14135	333	48978	inf
{18} {5,24,26} {5}	[{18}, {24, 26, 5}, {5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_Gender=Fem} {feats_Number=Sing}	121	51	7575	333	48978	inf
{3} {17,18,728,730} {24} {3,26}	[{3}, {728, 17, 18, 730}, {24}, {26, 3}]	{pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET} {pos_NOUN,feats_Gender=Fem}	104	6	885	333	48978	inf
{3} {17,18,730} {5} {3,5,26}	[{3}, {17, 18, 730}, {5}, {26, 3, 5}]	{pos_NOUN} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	103	5	878	333	48978	inf
{3} {17,18,730} {5,23,24,25,27} {3,5}	[{3}, {17, 18, 730}, {5, 23, 24, 25, 27}, {3, 5}]	{pos_NOUN} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing}	117	8	1224	333	48978	inf
{3} {17,18} {24} {3,26}	[{3}, {17, 18}, {24}, {26, 3}]	{pos_NOUN} {lemma_de,pos_ADP} {pos_DET} {pos_NOUN,feats_Gender=Fem}	111	10	1547	333	48978	inf
{5} {3} {17,18,730} {5}	[{5}, {3}, {17, 18, 730}, {5}]	{feats_Number=Sing} {pos_NOUN} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing}	110	17	2560	333	48978	inf
{5,26} {3,5,26} {18}	[{26, 5}, {26, 3, 5}, {18}]	{feats_Number=Sing,feats_Gender=Fem} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem} {pos_ADP}	91	12	1899	333	48978	inf
{5} {3,4} {17,18}	[{5}, {3, 4}, {17, 18}]	{feats_Number=Sing} {pos_NOUN,feats_Gender=Masc} {lemma_de,pos_ADP}	92	13	2026	333	48978	inf
{3,4} {18} {5,24,27}	[{3, 4}, {18}, {24, 27, 5}]	{pos_NOUN,feats_Gender=Masc} {pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art}	107	11	1725	333	48978	inf
{5} {3} {17,18} {26}	[{5}, {3}, {17, 18}, {26}]	{feats_Number=Sing} {pos_NOUN} {lemma_de,pos_ADP} {feats_Gender=Fem}	88	7	1069	333	48978	inf
{23,24,25,27} {3} {18} {5,24}	[{24, 25, 27, 23}, {3}, {18}, {24, 5}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {pos_ADP} {feats_Number=Sing,pos_DET}	112	20	3004	333	48978	inf
